created_at,entry_id,Temperature,Humidity,Moisture Sensor,Light Sensor,latitude,longitude,elevation,status
2023-02-06T15:30:47+07:00,99,27,77,1326,35,,,,Fuzzy
2023-02-06T15:31:07+07:00,100,27,77,1401,35,,,,Fuzzy
2023-02-06T15:31:30+07:00,101,27,77,1351,36,,,,Fuzzy
2023-02-06T15:31:47+07:00,102,27,78,1371,35,,,,Fuzzy
2023-02-06T15:32:07+07:00,103,27,78,1360,36,,,,Fuzzy
2023-02-06T15:32:27+07:00,104,27,78,1366,35,,,,Fuzzy
2023-02-06T15:32:51+07:00,105,27,78,1471,25,,,,Fuzzy
2023-02-06T15:33:08+07:00,106,27,77,1393,38,,,,Fuzzy
2023-02-06T15:33:27+07:00,107,27,77,1189,39,,,,Fuzzy
2023-02-06T15:33:49+07:00,108,27,77,1105,40,,,,Fuzzy
2023-02-06T15:34:07+07:00,109,27,77,1194,41,,,,Fuzzy
2023-02-06T15:34:28+07:00,110,27,77,1190,41,,,,Fuzzy
2023-02-06T15:34:50+07:00,111,27,76,1231,41,,,,Fuzzy
2023-02-06T15:35:28+07:00,112,27,76,1103,43,,,,Fuzzy
2023-02-06T15:35:52+07:00,113,27,76,1153,44,,,,Fuzzy
2023-02-06T15:36:12+07:00,114,27,76,1140,44,,,,Fuzzy
2023-02-06T15:36:32+07:00,115,27,77,1109,44,,,,Fuzzy
2023-02-06T15:36:52+07:00,116,27,77,1157,44,,,,Fuzzy
2023-02-06T15:37:16+07:00,117,27,78,1123,44,,,,Fuzzy
2023-02-06T15:37:32+07:00,118,27,79,1023,44,,,,Fuzzy
2023-02-06T15:37:52+07:00,119,27,77,1181,45,,,,Fuzzy
2023-02-06T15:38:15+07:00,120,27,77,1162,44,,,,Fuzzy
2023-02-06T15:38:34+07:00,121,27,77,1173,44,,,,Fuzzy
2023-02-06T15:38:53+07:00,122,27,77,1119,43,,,,Fuzzy
2023-02-06T15:39:12+07:00,123,27,77,1127,43,,,,Fuzzy
2023-02-06T15:39:32+07:00,124,27,77,1138,43,,,,Fuzzy
2023-02-06T15:39:53+07:00,125,27,77,1109,43,,,,Fuzzy
2023-02-06T15:40:12+07:00,126,27,77,1175,43,,,,Fuzzy
2023-02-06T15:40:32+07:00,127,27,77,1168,42,,,,Fuzzy
2023-02-06T15:40:56+07:00,128,27,76,1160,42,,,,Fuzzy
2023-02-06T15:41:14+07:00,129,27,77,1180,42,,,,Fuzzy
2023-02-06T15:41:32+07:00,130,27,77,1155,42,,,,Fuzzy
2023-02-06T15:41:55+07:00,131,27,78,1144,41,,,,Fuzzy
2023-02-06T15:42:14+07:00,132,26,77,1152,40,,,,Fuzzy
2023-02-06T15:42:32+07:00,133,26,76,1169,40,,,,Fuzzy
2023-02-06T15:42:53+07:00,134,26,76,1137,40,,,,Fuzzy
